Year,Month,Scheme_Name,No_of_Schemes,No_of_Folios,Funds_Mobilized,Redemption,Net_Inflow,AUM,AAUM
2024,August,Credit Risk Fund,14.0,191020.0,38.12704004,428.53511455,-390.40807451,21600.32078836,21688.27702003
2024,August,Banking and PSU Fund,22.0,242657.0,782.39887293,2332.38502411,-1549.98615118,78118.6371402,79094.64711221
2024,August,Gilt Fund,21.0,196737.0,2609.86825353,707.77548312,1902.09277041,35550.96569376,34381.93173572
2024,August,Gilt Fund with 10 year constant duration,5.0,36166.0,77.70488373,39.6595504499999,38.0453332800001,4578.46469587,4535.25888134
2024,August,Floater Fund,13.0,204910.0,1206.76431268,1883.64253588,-676.878223200001,53028.89123024,53123.21817669
2024,August,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),316.0,7016291.0,939780.1837556498,894610.8190298502,45169.36472580001,1599650.50543933,1622124.48575508
2024,August,Multi Cap Fund,26.0,7663105.0,4833.80044977,2358.73920382,2475.06124595,173103.02433424,168069.04818026
2024,August,Large Cap Fund,32.0,14641638.0,6538.58204301,3901.72276118,2636.85928183,368401.20890124,358518.49060312
2024,August,Large & Mid Cap Fund,29.0,10316175.0,5880.74971468,2587.00676022,3293.74295446,263808.60768337,255731.08732079
2024,August,Mid Cap Fund,29.0,16702539.0,7234.63514211,4179.95078319,3054.68435892,384658.1789083,374023.05802782
2024,August,Small Cap Fund,28.0,21573827.0,6958.85458776,3749.5233521,3209.33123566,319967.57162017,310992.27067415
2024,August,Dividend Yield Fund,9.0,1027942.0,825.85434625,325.94903586,499.90531039,31516.50500421,30565.35613755
2024,August,Value Fund/Contra Fund,23.0,7265493.0,3627.45852264,1899.44697616,1728.01154648,190473.81604319,184753.44818101
2024,August,Focused Fund,28.0,5080648.0,1863.29179708,1946.81451184,-83.5227147600017,150439.510832,146679.71765802
2024,August,Sectoral/Thematic Funds,179.0,26368314.0,25381.35175445,7264.17434905,18117.1774054,444943.89527753,425155.31183513
2024,August,ELSS,42.0,16549630.0,1881.32422811,2086.57618649,-205.25195838,252388.79580172,246305.96021935
2024,August,Flexi Cap Fund,39.0,15685939.0,7516.07664227,4002.91268831,3513.16395396,429311.51328753,417844.04088002
2024,August,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),464.0,142875250.0,72541.97922813,34302.816608220004,38239.16261991,3009012.6276935,2918637.7897172207
2024,August,Conservative Hybrid Fund,19.0,547626.0,411.4864517,598.33058361,-186.84413191,28385.73963113,28238.24896268
2024,August,Balanced Hybrid Fund/Aggressive Hybrid Fund,31.0,5554971.0,2702.96724062,2381.73712289,321.230117730001,224779.13030142,220372.53655692
2024,August,Dynamic Asset Allocation/Balanced Advantage Fund,34.0,4871024.0,6714.65857234,3499.60011964,3215.0584527,285526.1863456,281246.15576476
2024,August,Multi Asset Allocation Fund,24.0,2494704.0,3823.19751389,996.30815545,2826.88935844,92675.58446941,95315.79576239
2024,August,Arbitrage Fund,27.0,541196.0,20815.87582627,18443.74181933,2372.13400693997,192708.71569093,227768.88690092
2024,August,Equity Savings Fund,22.0,439021.0,2816.18899006,1359.35689786,1456.8320922,36990.33127469,37522.66107132
2024,August,Sub Total - III (i+ii+iii+iv+v+vi),157.0,14448542.0,37284.37459488,27279.07469878,10005.299896099972,861065.6877131801,890464.2850189899
2024,August,Retirement Fund,29.0,2947052.0,312.58786359,179.83972849,132.7481351,30394.83620389,29738.91516796
2024,August,Childrens Fund,11.0,3008909.0,176.13819151,81.12985896,95.0083325499999,22390.12813326,21957.82990742
2024,August,Sub Total - IV (i+ii),40.0,5955961.0,488.7260551,260.96958745,227.75646765,52784.96433715,51696.74507538
2024,August,Index Funds,230.0,10343195.0,8241.97905437,4994.73886912,3247.24018525,263774.09819806,258479.51516037
2024,August,GOLD ETF,17.0,5660198.0,2129.5439554,518.1601212,1611.3838342,37390.03624647,36173.45359628
2024,August,Other ETFs,206.0,16272528.0,19028.05317546,8934.48389098,10093.56928448,794345.22708959,774915.62659896
2024,August,Fund of funds investing overseas,55.0,1406740.0,286.16060398,638.99170859,-352.83110461,25385.99488378,24875.17184146
2024,August,Sub Total - V (i+ii+iii+iv),508.0,33682661.0,29685.73678921,15086.37458989,14599.36219932,1120895.3564179,1094443.76719707
2024,August,Total A-Open ended Schemes,1485.0,203978705.0,1079781.00042297,971540.0545141902,108240.94590877998,6643409.14160106,6577367.072763741
2024,August,Fixed Term Plan,79.0,67817.0,0.0,0.0,0.0,15406.83199522,15361.56878979
2024,August,Capital Protection Oriented Schemes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,August,Infrastructure Debt Fund,4.0,30.0,0.0,0.0,0.0,1066.800766,1062.855975
2024,August,Other Debt Scheme,1.0,201642.0,17.62,64.77,-47.15,5536.6,5479.96
2024,August,Sub Total (i+ii+iii+iv),84.0,269489.0,17.62,64.77,-47.15,22010.23276122,21904.38476479
2024,August,ELSS,18.0,271093.0,0.0,26.75943318,-26.75943318,4731.22007489,4610.83440931
2024,August,Other Equity Schemes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,August,Sub Total (i+ii),18.0,271093.0,0.0,26.75943318,-26.75943318,4731.22007489,4610.83440931
2024,August,Total B -Close ended Schemes,102.0,540582.0,17.62,91.52943318,-73.90943318,26741.45283611,26515.2191741
2024,August,Total C Interval Schemes,12.0,2352.0,0.0021,43.6359,-43.6338,154.5449,174.9139
2024,August,Grand Total,1599.0,204521639.0,1079798.62252297,971675.2198473702,108123.40267559998,6670305.13933717,6604057.205837841
2025,August,Overnight Fund,37.0,716620.0,514292.5784988,509341.73620696,4950.84229184035,86296.88029226,113153.73656351
2025,August,Liquid Fund,39.0,2131349.0,347152.0206049,360502.07865161,-13350.0580467097,531546.83270424,572499.66345118
2025,August,Ultra Short Duration Fund,25.0,732657.0,22318.35246367,21944.82932613,373.523137540004,136833.53667692,136704.26724756
2025,August,Low Duration Fund,23.0,857058.0,17277.48068401,16800.68162725,476.799056759999,142933.64913729,145670.66536993
2025,August,Money Market Fund,25.0,516255.0,63472.65143397,61262.12355264,2210.52788133,340867.68771892,339739.89454315
2025,August,Short Duration Fund,24.0,517942.0,4807.25524375,4241.99489259,565.260351159999,136582.7493315,136154.00157457
2025,August,Medium Duration Fund,13.0,233423.0,502.3155195,390.34261727,111.97290223,25590.07204737,25600.14227157
2025,August,Medium to Long Duration Fund,13.0,104533.0,53.2879014599999,81.17459755,-27.8866960900001,11520.3320989,11601.78378949
2025,August,Long Duration Fund,11.0,94316.0,697.8757114,760.06026198,-62.1845505799997,19719.61377788,19860.45007966
2025,August,Dynamic Bond Fund,22.0,240006.0,547.09510411,941.75012217,-394.65501806,36424.15500006,36872.25271226
2025,August,Corporate Bond Fund,21.0,565827.0,4102.5744515,4927.57285506,-824.998403559996,204712.23180295,205196.620084
2025,August,Credit Risk Fund,14.0,186961.0,86.34382106,329.91117425,-243.56735319,20028.42642128,20110.69219149
2025,August,Banking and PSU Fund,22.0,240524.0,947.25648395,1747.70556384,-800.44907989,81161.20400409,81717.48502982
2025,August,Gilt Fund,23.0,229584.0,2330.75497849,3259.17590615,-928.42092766,40089.9709945,40439.25730103
2025,August,Gilt Fund with 10 year constant duration,5.0,39073.0,328.06058707,159.88854596,168.17204111,4934.72612968,4746.76382733
2025,August,Floater Fund,12.0,200291.0,1737.82386427,1942.53926939,-204.71540512,52030.54587641,52456.25413208
2025,August,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),329.0,7606419.0,980653.7273519096,988633.5651707998,-7979.837818889344,1871272.6140142505,1942523.9301686296
2025,August,Multi Cap Fund,32.0,10582438.0,4812.78170375,1619.72674704,3193.05495671,205141.4845769,205535.8131713
2025,August,Large Cap Fund,33.0,16539476.0,5475.39808437,2640.51660592,2834.88147845,389982.59098833,392379.0641337
2025,August,Large & Mid Cap Fund,33.0,12691674.0,5501.95244344,2176.29501869,3325.65742475,299335.04848411,301161.32598047
